source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,ebpminrp_gspphot,ruwe,radial_velocity_error,rv_nb_transits,teff_gspphot,logg_gspphot,mh_gspphot,alphafe_gspspec,fem_gspspec,ew_espels_halpha,ew_espels_halpha_flag,nss_solution_type,has_rvs_spectrum,has_bprp_spectrum
2072596018435832960,298.2561737437129,38.77488829413611,18.55120701283085,0.01617974,-43.39388280616342,341.00622556164546,7.381027,0.0292,1.0011113,0.12070782,24,5339.1846,4.0734,-0.2336,0.05,-0.11,0.021714056,0,,True,True
4973139402225747072,1.2804274811037346,-52.15231606645571,23.65169442378338,0.01854452,-110.73039202165812,-129.85570997833878,7.402707,0.0,1.0468229,0.12088002,37,5951.821,4.258,-0.3898,0.15,-0.09,0.10550691,0,,True,True
3056203899255907328,114.71492962772075,-5.466108982123812,18.821924197590224,0.024052782,226.75436176658104,-126.87952668124922,7.4249573,1e-04,1.2463078,0.14228787,21,5616.7827,4.1202,-0.8212,0.35,-0.15,0.06172228,0,,True,True
5935496128485727616,244.22111415643715,-49.85689431213609,34.43329826022101,0.019432394,-18.476537392070643,-32.17356355324745,7.4407506,0.001,0.8690079,0.11846846,49,5405.131,4.4332,0.0881,0.09,,0.025732396,0,,True,True
3309493720019304576,69.38373895275495,15.146378860785259,25.64365899829558,0.56313103,101.49228775284693,-18.51264849142796,7.4436464,0.0,13.72717,0.66664153,23,5720.599,4.2521,-0.8942,,,0.09696409,0,OrbitalTargetedSearch,True,True
3996424359773549568,166.3125093934206,25.20162918611995,16.161342015684472,0.021892471,-400.87223171838247,-61.73130949107631,7.4714937,1e-04,0.97996557,0.12886545,15,5896.271,4.087,-0.9841,0.23,-0.12,0.07259017,0,,True,True
6687540473903265920,301.97397696848867,-39.843770207431646,14.334469879007365,0.021328542,13.450265054614764,-98.471649917398,7.477802,1e-04,0.9260241,0.13450012,16,6284.2407,4.0035,-0.634,0.18,-0.1,0.1167539,0,,True,True
4039697293585955584,272.8490351325975,-33.32732616781084,9.69197983007604,0.025016263,17.573531707330943,-63.07312729040587,7.481361,0.0141,0.83490777,12.531119,9,6229.52,3.8496,-0.698,,,0.11023687,0,,True,True
3311151233797884416,66.05246947657736,14.758157583423541,20.85619771465096,0.20330013,110.22626713190958,-12.401878513086965,7.4817166,0.0003,4.709577,0.20336576,16,5729.8994,4.2377,-0.5343,0.24,,0.05390085,0,,True,True
582221750852254080,130.60478477472157,4.577206096422419,17.424192547061903,0.024679197,24.666135964424086,-200.23755752789685,7.48436,1e-04,1.0248495,0.12784393,26,5915.8936,4.0723,-0.2326,0.08,-0.17,0.10350045,0,,True,True
4707740973434034048,0.1607351707345397,-66.683292608961,14.906887242960492,0.022814782,170.89849753467232,-28.04883969314016,7.485056,1e-04,1.1819912,0.13467596,22,6200.9814,4.0609,-0.2553,0.14,-0.05,0.14560144,0,,True,True
4176501313320676992,265.9339006264291,-3.9189353001796716,33.61289444532433,0.020719612,-108.50325350933365,-240.77745599166047,7.500781,0.0003,0.9556023,0.12761101,28,5542.9204,4.4521,-0.2115,0.14,-0.02,0.019789811,0,,True,True
5279589377547576704,94.58644205980511,-69.16256317341829,14.647420593092564,0.016312264,3.1616789665336467,-49.66712315940899,7.5017953,0.0017,0.9313884,0.14508845,20,6496.5547,4.1444,-0.3447,0.73,,0.19036008,0,,True,True
2315657456161729408,7.395683667511957,-32.568199174884505,12.538554046027718,0.02089311,86.47794650029759,179.9710275158381,7.502138,0.0032,0.9543906,0.124557614,30,6232.537,3.8564,-0.9143,0.17,-0.26,0.12868053,0,,True,True
6364189321243796864,285.6108854385698,-79.21539282438465,6.74356922660287,0.023415703,-15.799022786860096,-20.41106381744991,7.5317273,0.0627,1.3577963,0.1458175,30,6489.2476,3.6317,-0.1616,0.29,-0.13,0.113610804,0,,True,True
5049243375145251072,44.218003414657325,-36.29743512509869,10.750963924690765,0.017760228,-15.127191973194734,-13.176072253670155,7.5349293,0.0078,1.0352241,0.12663932,33,6348.386,3.9338,-0.1901,0.21,-0.09,0.15103984,0,,True,True
3615366756669561472,209.1505356491813,-10.034086438310338,23.268734334059044,0.02679638,-237.7400637070661,-30.599323698958056,7.547547,0.0,0.9519488,0.14979133,8,5957.597,4.2822,-0.5038,0.21,-0.16,0.072967865,0,,True,True
1606148310770764288,223.7887291314302,53.68247169367823,42.42150541577293,0.017330576,-971.0313217054247,478.1633395835034,7.5484657,0.0,1.1051812,0.121648,37,5108.158,4.4832,-0.6383,0.23,-0.04,-0.007339086,0,,True,True
6810655436564988928,324.6313956271201,-27.893968597537196,8.34342197278989,0.023216607,24.338150148976474,-9.409134516224707,7.549667,0.0014,0.96096224,0.16410242,28,6481.0093,3.8284,-0.8006,,,0.14518858,0,,True,True
1834788970646666112,301.0414854429663,25.790053914027443,45.2187286667551,0.017429097,-75.40370938099647,-39.3611119390414,7.559516,0.0,0.9648024,0.11697824,51,4911.2188,4.5035,-0.0103,-0.05,-0.09,-0.034194887,1,,True,True
4060239400532063232,264.75239860171456,-28.412893312425663,13.590791320491357,0.024172723,-72.7088686314579,-75.28899082718439,7.5604553,0.0147,0.8263712,0.13113889,29,6320.035,3.9622,-0.8816,0.09,-0.17,0.13133428,0,,True,True
4110294529931299840,263.8913592977169,-24.628662799132375,18.131968325712826,0.025076803,-71.5843516857198,-77.86126889229983,7.5850883,1e-04,0.82555085,0.17029175,16,6282.5474,4.229,-0.5353,0.27,-0.0,0.1358524,0,,True,True
3405113740864365440,72.38425479124014,15.888629620259284,20.62442127241635,0.019703357,86.74182616494376,-25.516382936765595,7.5957522,0.0,0.8669956,0.12834401,25,5959.318,4.3303,-0.0841,0.12,-0.1,0.13039516,0,,True,True
